r,phi[0],phi[1],
0,16.8023,109.305,
0.588702,17.5138,108.801,
1.1774,17.4733,107.533,
1.76611,17.2483,105.48,
2.35481,16.9491,102.692,
2.94351,16.5767,99.2466,
3.53221,16.1405,95.2384,
4.12091,15.65,90.7695,
4.70962,15.1152,85.9463,
5.29832,14.5459,80.8744,
5.88702,13.9519,75.6545,
6.47572,13.3421,70.3795,
7.06442,12.7248,65.1321,
7.65313,12.1073,59.9834,
8.24183,11.496,54.9921,
8.83053,10.8962,50.2052,
9.41923,10.3124,45.658,
10.0079,9.74813,41.3752,
10.5966,9.2062,37.3723,
11.1853,8.68866,33.6568,
11.774,8.19693,30.2292,
12.3627,7.7319,27.085,
12.9514,7.29399,24.2151,
13.5401,6.88325,21.6075,
14.1288,6.49938,19.2477,
14.7175,6.14185,17.1199,
15.3063,5.80991,15.2075,
15.895,5.50266,13.4938,
16.4837,5.21906,11.9619,
17.0724,4.95801,10.5957,
17.6611,4.71833,9.37972,
18.2498,4.49881,8.2992,
18.8385,4.29822,7.3405,
19.4272,4.11534,6.49095,
20.0159,3.94896,5.73891,
20.6046,3.79789,5.07376,
21.1933,3.66098,4.48586,
21.782,3.53713,3.96651,
22.3707,3.42529,3.50789,
22.9594,3.32444,3.10302,
23.5481,3.23363,2.74563,
24.1368,3.15198,2.43018,
24.7255,3.07865,2.15172,
25.3142,3.01287,1.90589,
25.9029,2.95392,1.68882,
26.4916,2.90113,1.4971,
27.0803,2.85391,1.32772,
27.669,2.81169,1.17802,
28.2577,2.77396,1.04566,
28.8464,2.74027,0.928591,
29.4351,2.7102,0.824998,
30.0238,2.68336,0.733289,
30.6125,2.65942,0.652064,
31.2012,2.63807,0.58009,
31.7899,2.61903,0.516283,
32.3786,2.60205,0.45969,
32.9673,2.58691,0.40947,
33.556,2.57341,0.364884,
34.1447,2.56137,0.325281,
34.7334,2.55063,0.290087,
35.3221,2.54106,0.258797,
35.9108,2.53252,0.230964,
36.4995,2.5249,0.206195,
37.0882,2.5181,0.184143,
37.6769,2.51203,0.164499,
38.2656,2.50661,0.146994,
38.8543,2.50177,0.131386,
39.443,2.49745,0.117465,
40.0317,2.49358,0.105042,
40.6204,2.49013,0.0939501,
41.2091,2.48704,0.0840428,
41.7978,2.48428,0.0751891,
42.3865,2.48181,0.0672731,
42.9752,2.4796,0.0601918,
43.5639,2.47762,0.0538538,
44.1526,2.47584,0.0481779,
44.7414,2.47425,0.0430919,
45.3301,2.47282,0.0385316,
45.9188,2.47154,0.0344398,
46.5075,2.47039,0.0307655,
47.0962,2.46935,0.0274633,
47.6849,2.46842,0.0244928,
48.2736,2.46758,0.0218179,
48.8623,2.46682,0.0194061,
49.451,2.46614,0.0172288,
50.0397,2.46552,0.01526,
50.6284,2.46496,0.0134766,
51.2171,2.46445,0.0118578,
51.8058,2.46399,0.0103851,
52.3945,2.46357,0.00904161,
52.9832,2.46318,0.00781228,
53.5719,2.46283,0.00668348,
54.1606,2.4625,0.00564286,
54.7493,2.4622,0.00467924,
55.338,2.46192,0.00378242,
55.9267,2.46165,0.00294312,
56.5154,2.46141,0.00215282,
57.1041,2.46117,0.00140364,
57.6928,2.46095,0.00068831,
58.2815,2.46073,0,
