r,phi[0],phi[1],
0,7.61513,51.8761,
0.487256,7.89021,51.8378,
0.974512,7.91773,51.7869,
1.46177,7.90962,51.7066,
1.94902,7.90079,51.5943,
2.43628,7.88922,51.4503,
2.92354,7.87515,51.275,
3.41079,7.85859,51.0688,
3.89805,7.83955,50.8322,
4.3853,7.81808,50.5657,
4.87256,7.7942,50.2699,
5.35982,7.76797,49.9455,
5.84707,7.73943,49.5933,
6.33433,7.70862,49.2139,
6.82158,7.6756,48.8082,
7.30884,7.64043,48.3772,
7.7961,7.60316,47.9218,
8.28335,7.56385,47.4428,
8.77061,7.52257,46.9414,
9.25786,7.47938,46.4186,
9.74512,7.43435,45.8754,
10.2324,7.38757,45.3129,
10.7196,7.33908,44.7323,
11.2069,7.28898,44.1346,
11.6941,7.23734,43.5211,
12.1814,7.18422,42.8928,
12.6687,7.12972,42.251,
13.1559,7.07391,41.5967,
13.6432,7.01687,40.9311,
14.1304,6.95867,40.2554,
14.6177,6.89941,39.5707,
15.1049,6.83914,38.8781,
15.5922,6.77797,38.1787,
16.0794,6.71596,37.4736,
16.5667,6.65318,36.7639,
17.054,6.58973,36.0506,
17.5412,6.52568,35.3347,
18.0285,6.46109,34.6171,
18.5157,6.39604,33.8989,
19.003,6.33062,33.1809,
19.4902,6.26488,32.4641,
19.9775,6.19889,31.7492,
20.4648,6.13274,31.037,
20.952,6.06647,30.3285,
21.4393,6.00015,29.6242,
21.9265,5.93386,28.9249,
22.4138,5.86764,28.2312,
22.901,5.80155,27.5437,
23.3883,5.73566,26.8631,
23.8755,5.67001,26.1899,
24.3628,5.60465,25.5246,
24.8501,5.53965,24.8676,
25.3373,5.47504,24.2193,
25.8246,5.41086,23.5803,
26.3118,5.34717,22.9507,
26.7991,5.284,22.3311,
27.2863,5.22139,21.7215,
27.7736,5.15938,21.1224,
28.2608,5.098,20.5339,
28.7481,5.03729,19.9562,
29.2354,4.97727,19.3894,
29.7226,4.91797,18.8338,
30.2099,4.85942,18.2895,
30.6971,4.80164,17.7564,
31.1844,4.74465,17.2348,
31.6716,4.68848,16.7245,
32.1589,4.63314,16.2257,
32.6462,4.57864,15.7383,
33.1334,4.52501,15.2624,
33.6207,4.47226,14.7978,
34.1079,4.42039,14.3445,
34.5952,4.36942,13.9024,
35.0824,4.31935,13.4715,
35.5697,4.27019,13.0516,
36.0569,4.22195,12.6427,
36.5442,4.17463,12.2445,
37.0315,4.12823,11.8571,
37.5187,4.08276,11.4801,
38.006,4.03821,11.1136,
38.4932,3.99458,10.7572,
38.9805,3.95187,10.4108,
39.4677,3.91008,10.0744,
39.955,3.86921,9.74758,
40.4423,3.82924,9.4303,
40.9295,3.79017,9.12232,
41.4168,3.752,8.82348,
41.904,3.71471,8.53356,
42.3913,3.67831,8.25239,
42.8785,3.64277,7.97975,
43.3658,3.6081,7.71546,
43.853,3.57427,7.45932,
44.3403,3.54129,7.21112,
44.8276,3.50913,6.97069,
45.3148,3.47779,6.73781,
45.8021,3.44726,6.5123,
46.2893,3.41752,6.29397,
46.7766,3.38856,6.08261,
47.2638,3.36037,5.87805,
47.7511,3.33293,5.6801,
48.2383,3.30623,5.48857,
48.7256,3.28026,5.30328,
49.2129,3.255,5.12406,
49.7001,3.23045,4.95072,
50.1874,3.20658,4.78311,
50.6746,3.18338,4.62103,
51.1619,3.16083,4.46434,
51.6491,3.13893,4.31287,
52.1364,3.11767,4.16646,
52.6237,3.09701,4.02496,
53.1109,3.07696,3.8882,
53.5982,3.0575,3.75605,
54.0854,3.0386,3.62836,
54.5727,3.02027,3.50499,
55.0599,3.00249,3.3858,
55.5472,2.98524,3.27065,
56.0344,2.96851,3.15943,
56.5217,2.95228,3.05199,
57.009,2.93655,2.94821,
57.4962,2.9213,2.84798,
